country_Code,Country_number,Country,Currency_Name,Currency_Code,Currency_Number,temp,Currency_Code2,Value
LKA,144,SRI LANKA,Sri Lanka Rupee,LKR,144,83,LKR,326.912398
SDN,729,SUDAN (THE),Sudanese Pound,SDG,938,123,SDG,576.966739
SUR,740,SURINAME,Surinam Dollar,SRD,968,130,SRD,38.192133
SJM,744,SVALBARD AND JAN MAYEN,Norwegian Krone,NOK,578,104,NOK,11.156498
SWZ,748,SWAZILAND,Lilangeni,SZL,748,134,SZL,19.039012
SWE,752,SWEDEN,Swedish Krona,SEK,752,124,SEK,11.110876
CHE,756,SWITZERLAND,Swiss Franc,CHF,756,28,CHF,0.893285
SYR,760,SYRIAN ARAB REPUBLIC,Syrian Pound,SYP,760,133,SYP,12931.311549
TWN,158,TAIWAN (PROVINCE OF CHINA),New Taiwan Dollar,TWD,901,143,TWD,32.260453
TJK,762,TAJIKISTAN,Somoni,TJS,972,136,TJS,10.933311
TZA,834,TANZANIA| UNITED REPUBLIC OF,Tanzanian Shilling,TZS,834,144,TZS,2513.358652
THA,764,THAILAND,Baht,THB,764,135,THB,36.169516
TLS,626,TIMOR-LESTE,US Dollar,USD,840,0,USD,1.0
TGO,768,TOGO,CFA Franc BCEAO,XOF,952,156,XOF,618.778311
TKL,772,TOKELAU,New Zealand Dollar,NZD,554,106,NZD,1.711312
TON,776,TONGA,Pa’anga,TOP,776,139,TOP,2.353887
TTO,780,TRINIDAD AND TOBAGO,Trinidad and Tobago Dollar,TTD,780,141,TTD,6.771168
TUN,788,TUNISIA,Tunisian Dinar,TND,788,138,TND,3.164299
TUR,792,TURKEY,Turkish Lira,TRY,949,140,TRY,28.121146
TKM,795,TURKMENISTAN,Turkmenistan New Manat,TMT,934,137,TMT,3.499934
TCA,796,TURKS AND CAICOS ISLANDS (THE),US Dollar,USD,840,0,USD,1.0
TUV,798,TUVALU,Australian Dollar,AUD,36,8,AUD,1.572893
UGA,800,UGANDA,Uganda Shilling,UGX,800,146,UGX,3765.813997
UKR,804,UKRAINE,Hryvnia,UAH,980,145,UAH,36.587473
ARE,784,UNITED ARAB EMIRATES (THE),UAE Dirham,AED,784,1,AED,3.6725
GBR,826,UNITED KINGDOM OF GREAT BRITAIN AND NORTHERN IRELAND (THE),Pound Sterling,GBP,826,47,GBP,0.821191
UMI,581,UNITED STATES MINOR OUTLYING ISLANDS (THE),US Dollar,USD,840,0,USD,1.0
USA,840,UNITED STATES OF AMERICA (THE),US Dollar,USD,840,0,USD,1.0
URY,858,URUGUAY,Peso Uruguayo,UYU,858,147,UYU,39.752598
UZB,860,UZBEKISTAN,Uzbekistan Sum,UZS,860,148,UZS,12204.157407
VUT,548,VANUATU,Vatu,VUV,548,151,VUV,121.264151
VNM,704,VIET NAM,Dong,VND,704,150,VND,24581.037442
VGB,92,VIRGIN ISLANDS (BRITISH),US Dollar,USD,840,0,USD,1.0
VIR,850,VIRGIN ISLANDS (U.S.),US Dollar,USD,840,0,USD,1.0
WLF,876,WALLIS AND FUTUNA,CFP Franc,XPF,953,157,XPF,112.568436
ESH,732,WESTERN SAHARA,Moroccan Dirham,MAD,504,87,MAD,10.296711
YEM,887,YEMEN,Yemeni Rial,YER,886,158,YER,250.282115
ZMB,894,ZAMBIA,Zambian Kwacha,ZMW,967,160,ZMW,21.711263
ZWE,716,ZIMBABWE,Zimbabwe Dollar,ZWL,932,161,ZWL,5682.77889
ALA,248,ÅLAND ISLANDS,Euro,EUR,978,43,EUR,0.942866
